name,city,district,traffic,longitude,latitude
GLACIERE,Paris,13,4933269,48.8313647071449,2.34393889430969
REAUMUR-SEBASTOPOL,Paris,3,4925640,48.8663118301881,2.35203525525425
PORTE DE MONTREUIL,Paris,20,4862314,48.8534495044418,2.41043444867178
COLONEL FABIEN,Paris,10,4808282,48.8779422921331,2.37014713779616
PLAISANCE,Paris,14,4794268,48.8317625860832,2.31406734480211
PEREIRE,Paris,17,4787487,48.8845503317922,2.29751704870328
LAUMIERE,Paris,19,4726950,48.8850422338428,2.3795955531979
PERE LACHAISE,Paris,20,4682893,48.8626131584417,2.38672181193918
PORTE DE PANTIN,Paris,19,4675965,48.8883327364608,2.39146861403051
MAIRIE DES LILAS,Les Lilas,,4673141,48.8797989953663,2.41623893515656
GUY MOQUET,Paris,17,4660620,48.8924675161233,2.32722675495985
CHAMPS-ELYSEES-CLEMENCEAU,Paris,8,4617843,48.8674114214171,2.31395945009909
PONT DE SEVRES,Boulogne Billancourt,,4557271,48.8295929841028,2.23025364790437
RAMBUTEAU,Paris,3,4498414,48.8614000355035,2.35350496222254
SAINT-GERMAIN DES PRES,Paris,6,4498265,48.8536134867907,2.33372046538119
PORTE DE BAGNOLET,Paris,20,4487998,48.8643963044636,2.40799995272687
PORTE DE VANVES,Paris,14,4464578,48.8276756893336,2.30534014881766
ROBESPIERRE,Montreuil,,4448864,48.85556400483,2.42355673885079
ECOLE MILITAIRE,Paris,7,4443503,48.8545185491092,2.30554381620113
JULES JOFFRIN,Paris,18,4441668,48.8924519921638,2.34446469630622
LE KREMLIN-BICETRE,Kremlin-Bic?tre,,4428481,48.8103806352167,2.36161295005801
CRETEIL-PREFECTURE,Créteil,,4349228,48.7797484034104,2.45914426746537
DENFERT-ROCHEREAU,Paris,14,4339678,48.8335919035577,2.33189346001924
CHARLES MICHELS,Paris,15,4339534,48.8463362741362,2.28633238561987
MAIRIE D'ISSY,Issy Les Moulineaux,,4322511,48.8248138108686,2.27350399984748
MENILMONTANT,Paris,11,4316980,48.8659488111593,2.38339427851543
BLANCHE,Paris,9,4251153,48.8836536085134,2.33166752315741
LA MUETTE,Paris,16,4206204,48.8579377398982,2.27411706697758
JUSSIEU,Paris,5,4202204,48.8458380895278,2.35469159842714
BALARD,Paris,15,4189814,48.8362754634973,2.27821832700082
OBERKAMPF,Paris,11,4167444,48.8645156235565,2.36867423637139
ALMA-MARCEAU,Paris,8,4060044,48.8646460306735,2.30088336611718
CHATEAU D'EAU,Paris,10,4059164,48.8725890109106,2.35547036877069
CHARONNE,Paris,12,4047046,48.8547662368488,2.38527064781972
ARTS ET METIERS,Paris,3,4036745,48.8652929436681,2.35637778086357
PORTE DE CLICHY,Paris,17,4021254,48.8943611610735,2.31373834378485
DUPLEIX,Paris,15,3983127,48.8508056365633,2.29276958714394
TERNES,Paris,17,3928660,48.8780661989513,2.29803071264819
FORT D'AUBERVILLIERS,Aubervilliers,,3927340,48.9146921997335,2.40417710143886
ALEXANDRE DUMAS,Paris,11,3919412,48.8561744489676,2.3949898158233
LEDRU-ROLLIN,Paris,12,3917141,48.8511941201646,2.37594535235887
VAUGIRARD,Paris,15,3910263,48.839568032804,2.30098263992519
PASSY,Paris,16,3908764,48.8576333212361,2.28586501138629
VICTOR HUGO,Paris,16,3908009,48.8696716618644,2.28526726839526
ANATOLE FRANCE,Levallois-Perret,,3866326,48.8924723754181,2.285373878396
GALLIENI,Bagnolet,,3852053,48.8633345779424,2.41568260426712
MALAKOFF-PLATEAU DE VANVES,Malakoff,0,3852053,48.8231314024501,2.29701508516275
BOULOGNE-JEAN JAURES,Boulogne Billancourt,,3847782,48.8422216612984,2.23883585019659
LES GOBELINS,Paris,13,3835783,48.8366105352574,2.35164217355525
OURCQ,Paris,19,3792001,48.8869750227319,2.38602958795485
CENSIER-DAUBENTON,Paris,6,3777857,48.8405358795008,2.35142881208972
PORTE DE SAINT-OUEN,Paris,17,3762943,48.8972510523147,2.32883766969025
MARX DORMOY,Paris,18,3753736,48.8903020649568,2.36020584275635
GONCOURT,Paris,11,3740119,48.8696803933807,2.3712726500969
PORTE DES LILAS,Paris,20,3724568,48.8770699912197,2.40638582344912
MAIRIE DE SAINT-OUEN,Saint Ouen,,3716189,48.9120620157054,2.334163015407
EGLISE DE PANTIN,Pantin,,3693931,48.893113981741,2.41328568033304
CADET,Paris,9,3612956,48.875475187116,2.34305895381275
